Location,FullScallop_Number,T1_height,T1_length,T1_width,T2_height,T2_length,T2_width,T2_whole_weight,T2_body_weight,T2_adductor,sex,acini_1,acini_2,acini_3,acini_4,acini_5,acini_6,acini_7,acini_8,acini_9,acini_10,acini_11,acini_12,acini_13,acini_14,acini_15,acini_16,acini_17,acini_18,acini_19,acini_20,acini_21,acini_22,acini_23,acini_24,acini_25,acini_26,acini_27,acini_28,acini_29,acini_30,acini_31,acini_32,acini_count,mc_1_mode,mc_2_mean,mc_3_max
TI,313060,,,,64.5,67.2,17.8,38.91,15.75,22,m,5,5,5,5,4,4,5,4,5,5,5,5,5,5,5,5,5,4,4,4,4,4,4,4,,,,,,,,,24,5,5,5
TI,313061,,,,71.2,76.2,18,48.43,17.2,21,m,2,2,2,2,2,1,2,2,2,2,1,1,2,1,1,2,2,2,2,2,2,2,2,2,,,,,,,,,24,2,2,2
TI,313062,,,,62.7,67.3,16.6,32.61,13.49,21,m,1,2,2,2,2,1,1,2,2,2,1,2,3,1,1,2,2,2,1,1,2,2,1,2,,,,,,,,,24,2,1,1
TI,313063,,,,56.4,56.2,16.6,24.25,10.86,19,f,4,4,3,4,2,4,4,4,4,3,3,3,4,2,4,4,4,4,4,4,4,4,4,4,,,,,,,,,24,4,4,4
TI,313064,,,,65.2,72.5,18.4,41.62,14.64,22,m,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,,,,,,,,,24,5,5,5
TI,313065,,,,59.6,59.1,18.2,32.65,12.63,22,m,2,2,1,2,2,2,2,2,3,2,2,2,2,3,3,1,2,2,2,2,2,2,3,2,,,,,,,,,24,2,2,2
TI,313066,,,,65.5,72,17.8,33.96,13.06,20,m,5,4,5,4,5,none,none,2,none,4,4,4,none,4,5,none,none,5,5,5,none,5,2,none,,,,,,,,,16,5,5,5
TI,316002,57,57,16,64.2,65.2,16.8,30.6,11.2,20,m,2,3,3,2,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,,,,,,,,,24,3,2,2
TI,316003,42,39,13,55.4,58.7,15.6,19.17,7.59,17,f,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,,,,,,,,,24,3,3,3
TI,316004,49,46,14,60.7,64.2,16,26.47,9.83,22,f,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,,,,,,,,,24,3,3,3
TI,316006,58,57,16,60.5,61.7,17.8,31.86,12.23,20,m,3,3,3,3,3,3,2,3,3,2,2,2,2,2,3,3,3,3,3,3,4,4,3,3,,,,,,,,,24,3,3,3
TI,316007,58,62,16,66.2,66.3,18.3,40.85,14.43,20,m,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,,,,,,,,,24,3,3,3
TI,316014,50,48,16,55.6,54.2,18.6,28.99,10.42,18,m,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,,,,,,,,,24,3,3,3
TI,316015,49,48,15,60,64,18,31.26,12.62,19,m,0,4,4,5,none,0,none,none,5,5,0,0,4,5,5,0,none,0,0,0,0,0,0,0,,,,,,,,,20,0,0,0
TI,316019,43,44,14,46.9,45.8,15.5,15.95,6.72,17,m,3,3,3,3,3,3,3,3,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,,,,,,,,,24,3,3,3
TI,316021,59,61,18,66.7,72,21,44.64,18.33,23,m,2,2,3,2,2,3,3,3,2,2,2,2,3,2,3,2,2,3,3,2,2,3,3,2,,,,,,,,,24,2,2,2
TI,316024,55,53,15,65.5,68.1,17.4,33.24,13.91,23,m,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,,,,,,,,,24,3,3,3
TI,316029,44,43,14,52.6,53.9,15.3,20.85,8.33,19,f,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,,,,,,,,,24,3,3,3
TI,316036,52,51,15,58.3,55.3,17.2,29.33,11.03,19,m,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,,,,,,,,,24,3,3,3
TI,316051,51,48,12,55,54.1,16.3,22.4,9.16,18,m,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,,,,,,,,,24,3,3,3
TI,316056,55,56,16,60.6,64.1,18,33.85,12.36,20,m,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,,,,,,,,,24,3,3,3
TI,316054,69,64,16,73,70.8,18.3,45.25,15.63,23,m,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,,,,,,,,,24,3,3,3
TI,316047,40,38,12,53.5,54.6,14.2,18.84,7.19,17,f,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,,,,,,,,,24,4,4,4
TI,317010,17,48,16,56.1,57.5,18.3,27.64,11.62,20,m,none,5,5,none,none,5,1,none,none,none,0,1,1,1,0,none,5,0,1,0,none,1,0,0,,,,,,,,,16,1,#DIV/0!,0
TI,317052,56,57,17,61.2,64.5,18.1,34.27,12.52,19,m,3,2,2,2,2,2,2,2,2,2,3,2,3,2,2,2,3,2,2,2,2,3,3,2,,,,,,,,,24,2,3,3
TI,317012,46,43,12,57.8,59.1,13.5,20.09,7.51,18,m,2,3,2,3,2,2,3,3,3,2,3,3,3,2,2,2,2,3,2,2,2,2,3,2,,,,,,,,,24,2,2,2
TI,317014,51,50,13,56.4,58.6,15.3,22.13,7.49,15,m,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,,,,,,,,,24,3,3,3
TI,317016,61,57,19,62.5,59.5,20,39.36,13.72,21,m,2,2,2,1,2,2,2,2,1,1,2,1,1,2,2,1,2,2,2,1,2,2,1,2,,,,,,,,,24,2,2,2
TI,317018,48,46,14,54.5,54,16.7,23.47,9.65,17,m,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,24,0,0,0
TI,317019,44,44,14,55.3,54.8,15.7,20.27,8.36,17,m,3,2,2,2,3,3,3,2,2,3,2,3,2,3,2,3,3,3,3,3,3,3,3,3,,,,,,,,,24,3,3,3
TI,317020,55,58,15,66.1,65.7,19.1,37.68,13.33,20,f,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,,,,,,,,,24,3,3,3
TI,317021,53,55,15,60.1,60.6,17.2,29.34,10.47,20,f,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,,,,,,,,24,2,2,2
TI,317023,58,56,14,64.2,64.8,14.8,29.8,12.2,21,m,3,2,3,2,3,3,3,2,3,3,2,2,3,3,2,3,3,3,3,2,2,2,3,3,,,,,,,,,24,3,3,3
TI,317024,51,50,15,59.2,57.6,16.4,26.78,11.42,19,m,2,1,1,2,1,2,2,2,2,1,2,2,2,2,1,1,2,2,1,1,2,2,2,1,,,,,,,,,24,2,2,2
TI,317025,54,54,15,60.2,64.4,16.3,30.09,11.45,17,m,3,3,3,3,3,3,3,3,2,2,2,3,3,3,2,2,2,2,2,2,2,2,2,2,,,,,,,,,24,2,3,3
TI,317026,47,45,13,60.6,67.5,14.7,23.48,8.94,18,m,5,5,5,5,4,5,5,4,5,4,5,5,5,5,5,4,5,5,5,5,5,5,5,5,,,,,,,,,24,5,5,5
TI,317028,51,49,15,62.5,63.6,18.3,29.69,10.41,17,m,2,2,2,2,3,3,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,,,,,,,,,24,2,2,2
TI,317029,46,45,15,59.7,56,16.3,25.08,8.71,18,m,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,24,1,1,1
TI,317030,47,45,13,58.1,58.2,16.5,24.76,10.53,17,m,2,2,1,2,1,2,1,1,2,1,2,2,2,3,2,2,3,2,1,2,3,2,2,2,,,,,,,,,24,2,2,2
TI,317031,53,50,10,62.4,62.5,18.4,27.9,9.84,17,m,2,2,2,2,3,3,2,3,3,3,2,3,2,2,2,2,2,2,3,2,2,2,2,2,,,,,,,,,24,2,2,2
TI,317032,48,45,14,61.1,61,18,25.47,10.64,19,m,2,2,1,2,2,2,2,3,2,2,2,3,2,2,2,2,3,1,2,2,2,2,3,2,,,,,,,,,24,2,2,2
TI,317033,48,46,15,58,60.5,17.6,26.3,10.45,20,f,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,,,,,,,,,24,4,4,4
TI,317034,41,40,12,50.6,50.1,13.5,15.55,6.75,17,f,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,,,,,,,,,24,5,5,5
TI,317035,51,50,15,63.5,64.3,18.3,32.87,12.84,20,m,2,2,2,3,2,3,2,2,2,2,2,2,2,2,2,3,2,2,3,2,2,2,3,2,,,,,,,,,24,2,2,2
